z_m,strain_verdadero,strain_das,strain_das_ruidoso
0,-5.92384e-11,-5.83761e-11,-5.83761e-11
2,-5.88232e-11,-5.79668e-11,-5.79668e-11
4,-5.75832e-11,-5.67449e-11,-5.67449e-11
6,-5.55358e-11,-5.47274e-11,-5.47274e-11
8,-5.27099e-11,-5.19425e-11,-5.19425e-11
10,-4.91449e-11,-4.84295e-11,-4.84295e-11
12,-4.48909e-11,-4.42374e-11,-4.42374e-11
14,-4.00075e-11,-3.94251e-11,-3.94251e-11
16,-3.45632e-11,-3.406e-11,-3.406e-11
18,-2.86343e-11,-2.82175e-11,-2.82175e-11
20,-2.23039e-11,-2.19792e-11,-2.19792e-11
22,-1.56609e-11,-1.54329e-11,-1.54329e-11
24,-8.79823e-12,-8.67015e-12,-8.67015e-12
26,-1.81223e-12,-1.78585e-12,-1.78585e-12
28,5.19917e-12,5.12349e-12,5.12349e-12
30,1.21377e-11,1.1961e-11,1.1961e-11
32,1.8906e-11,1.86308e-11,1.86308e-11
34,2.54093e-11,2.50394e-11,2.50394e-11
36,3.15563e-11,3.10969e-11,3.10969e-11
38,3.72609e-11,3.67185e-11,3.67185e-11
40,4.24431e-11,4.18252e-11,4.18252e-11
42,4.70302e-11,4.63455e-11,4.63455e-11
44,5.09579e-11,5.02161e-11,5.02161e-11
46,5.41712e-11,5.33826e-11,5.33826e-11
48,5.6625e-11,5.58006e-11,5.58006e-11
50,5.82849e-11,5.74364e-11,5.74364e-11
52,5.91276e-11,5.82668e-11,5.82668e-11
54,5.91413e-11,5.82803e-11,5.82803e-11
56,5.83258e-11,5.74767e-11,5.74767e-11
58,5.66926e-11,5.58673e-11,5.58673e-11
60,5.42645e-11,5.34746e-11,5.34746e-11
62,5.10757e-11,5.03321e-11,5.03321e-11
64,4.71707e-11,4.6484e-11,4.6484e-11
66,4.26044e-11,4.19841e-11,4.19841e-11
68,3.74407e-11,3.68957e-11,3.68957e-11
70,3.17521e-11,3.12899e-11,3.12899e-11
72,2.56184e-11,2.52454e-11,2.52454e-11
74,1.91254e-11,1.8847e-11,1.8847e-11
76,1.23643e-11,1.21843e-11,1.21843e-11
78,5.42991e-12,5.35086e-12,5.35086e-12
80,-1.58066e-12,-1.55765e-12,-1.55765e-12
82,-8.56906e-12,-8.44432e-12,-8.44432e-12
84,-1.54373e-11,-1.52126e-11,-1.52126e-11
86,-2.20892e-11,-2.17676e-11,-2.17676e-11
88,-2.84313e-11,-2.80174e-11,-2.80174e-11
90,-3.43748e-11,-3.38744e-11,-3.38744e-11
92,-3.98364e-11,-3.92564e-11,-3.92564e-11
94,-4.47394e-11,-4.40881e-11,-4.40881e-11
96,-4.90152e-11,-4.83016e-11,-4.83016e-11
98,-5.26038e-11,-5.1838e-11,-5.1838e-11
100,-5.54548e-11,-5.46475e-11,-5.46475e-11
102,-5.75284e-11,-5.66909e-11,-5.66909e-11
104,-5.87953e-11,-5.79394e-11,-5.79394e-11
106,-5.9238e-11,-5.83756e-11,-5.83756e-11
108,-5.88501e-11,-5.79934e-11,-5.79934e-11
110,-5.76371e-11,-5.67981e-11,-5.67981e-11
112,-5.5616e-11,-5.48064e-11,-5.48064e-11
114,-5.28152e-11,-5.20463e-11,-5.20463e-11
116,-4.92739e-11,-4.85566e-11,-4.85566e-11
118,-4.50417e-11,-4.4386e-11,-4.4386e-11
120,-4.01781e-11,-3.95932e-11,-3.95932e-11
122,-3.47511e-11,-3.42452e-11,-3.42452e-11
124,-2.88369e-11,-2.84171e-11,-2.84171e-11
126,-2.25184e-11,-2.21906e-11,-2.21906e-11
128,-1.58842e-11,-1.56529e-11,-1.56529e-11
130,-9.02726e-12,-8.89584e-12,-8.89584e-12
132,-2.04377e-12,-2.01402e-12,-2.01402e-12
134,4.96836e-12,4.89603e-12,4.89603e-12
136,1.19108e-11,1.17374e-11,1.17374e-11
138,1.86863e-11,1.84143e-11,1.84143e-11
140,2.51998e-11,2.4833e-11,2.4833e-11
142,3.136e-11,3.09035e-11,3.09035e-11
144,3.70805e-11,3.65407e-11,3.65407e-11
146,4.22811e-11,4.16656e-11,4.16656e-11
148,4.6889e-11,4.62064e-11,4.62064e-11
150,5.08394e-11,5.00993e-11,5.00993e-11
152,5.4077e-11,5.32898e-11,5.32898e-11
154,5.65565e-11,5.57332e-11,5.57332e-11
156,5.8243e-11,5.73951e-11,5.73951e-11
158,5.91129e-11,5.82524e-11,5.82524e-11
160,5.91541e-11,5.82929e-11,5.82929e-11
