Lg_sobre_lambda,Lg_m,cociente_medido,sinc_teorico,error_abs
0,0,1,1,0
0.01,1.06066,0.999836,0.999836,1.11022e-16
0.02,2.12132,0.999342,0.999342,2.22045e-16
0.03,3.18198,0.99852,0.99852,2.22045e-16
0.04,4.24264,0.99737,0.99737,1.11022e-16
0.05,5.3033,0.995893,0.995893,1.11022e-16
0.06,6.36396,0.994089,0.994089,1.11022e-16
0.07,7.42462,0.991959,0.991959,1.11022e-16
0.08,8.48528,0.989506,0.989506,1.11022e-16
0.09,9.54594,0.986729,0.986729,0
0.1,10.6066,0.983632,0.983632,0
0.11,11.6673,0.980215,0.980215,1.11022e-16
0.12,12.7279,0.976481,0.976481,1.11022e-16
0.13,13.7886,0.972432,0.972432,1.11022e-16
0.14,14.8492,0.96807,0.96807,2.22045e-16
0.15,15.9099,0.963398,0.963398,1.11022e-16
0.16,16.9706,0.958418,0.958418,1.11022e-16
0.17,18.0312,0.953135,0.953135,0
0.18,19.0919,0.94755,0.94755,1.11022e-16
0.19,20.1525,0.941667,0.941667,1.11022e-16
0.2,21.2132,0.935489,0.935489,1.11022e-16
0.21,22.2739,0.929021,0.929021,0
0.22,23.3345,0.922265,0.922265,0
0.23,24.3952,0.915227,0.915227,0
0.24,25.4558,0.907909,0.907909,1.11022e-16
0.25,26.5165,0.900316,0.900316,1.11022e-16
0.26,27.5772,0.892454,0.892454,1.11022e-16
0.27,28.6378,0.884325,0.884325,1.11022e-16
0.28,29.6985,0.875936,0.875936,1.11022e-16
0.29,30.7591,0.86729,0.86729,1.11022e-16
0.3,31.8198,0.858394,0.858394,2.22045e-16
0.31,32.8805,0.849251,0.849251,1.11022e-16
0.32,33.9411,0.839869,0.839869,0
0.33,35.0018,0.830251,0.830251,0
0.34,36.0624,0.820403,0.820403,0
0.35,37.1231,0.810332,0.810332,1.11022e-16
0.36,38.1838,0.800043,0.800043,1.11022e-16
0.37,39.2444,0.789542,0.789542,0
0.38,40.3051,0.778834,0.778834,0
0.39,41.3657,0.767927,0.767927,1.11022e-16
0.4,42.4264,0.756827,0.756827,0
0.41,43.4871,0.745539,0.745539,1.11022e-16
0.42,44.5477,0.73407,0.73407,1.11022e-16
0.43,45.6084,0.722428,0.722428,0
0.44,46.669,0.710618,0.710618,0
0.45,47.7297,0.698647,0.698647,1.11022e-16
0.46,48.7904,0.686522,0.686522,1.11022e-16
0.47,49.851,0.674249,0.674249,1.11022e-16
0.48,50.9117,0.661837,0.661837,1.11022e-16
0.49,51.9723,0.649291,0.649291,1.11022e-16
0.5,53.033,0.63662,0.63662,1.11022e-16
0.51,54.0937,0.623829,0.623829,0
0.52,55.1543,0.610926,0.610926,0
0.53,56.215,0.597919,0.597919,0
0.54,57.2756,0.584815,0.584815,0
0.55,58.3363,0.57162,0.57162,1.11022e-16
0.56,59.397,0.558342,0.558342,1.11022e-16
0.57,60.4576,0.544989,0.544989,1.11022e-16
0.58,61.5183,0.531568,0.531568,0
0.59,62.579,0.518086,0.518086,0
0.6,63.6396,0.504551,0.504551,1.11022e-16
0.61,64.7003,0.49097,0.49097,0
0.62,65.7609,0.47735,0.47735,5.55112e-17
0.63,66.8216,0.463699,0.463699,5.55112e-17
0.64,67.8823,0.450024,0.450024,0
0.65,68.9429,0.436333,0.436333,0
0.66,70.0036,0.422632,0.422632,0
0.67,71.0642,0.408929,0.408929,0
0.68,72.1249,0.395232,0.395232,0
0.69,73.1856,0.381548,0.381548,0
0.7,74.2462,0.367883,0.367883,0
0.71,75.3069,0.354245,0.354245,0
0.72,76.3675,0.340642,0.340642,0
0.73,77.4282,0.327079,0.327079,5.55112e-17
0.74,78.4889,0.313565,0.313565,0
0.75,79.5495,0.300105,0.300105,5.55112e-17
0.76,80.6102,0.286708,0.286708,0
0.77,81.6708,0.273379,0.273379,0
0.78,82.7315,0.260126,0.260126,0
0.79,83.7922,0.246955,0.246955,2.77556e-17
0.8,84.8528,0.233872,0.233872,0
0.81,85.9135,0.220885,0.220885,0
0.82,86.9741,0.207999,0.207999,2.77556e-17
0.83,88.0348,0.19522,0.19522,0
0.84,89.0955,0.182556,0.182556,0
0.85,90.1561,0.170011,0.170011,2.77556e-17
0.86,91.2168,0.157593,0.157593,0
0.87,92.2774,0.145306,0.145306,0
0.88,93.3381,0.133156,0.133156,0
0.89,94.3988,0.12115,0.12115,0
0.9,95.4594,0.109292,0.109292,1.38778e-17
0.91,96.5201,0.0975886,0.0975886,1.38778e-17
0.92,97.5807,0.086044,0.086044,1.38778e-17
0.93,98.6414,0.0746636,0.0746636,1.38778e-17
0.94,99.7021,0.0634525,0.0634525,0
0.95,100.763,0.0524154,0.0524154,1.38778e-17
0.96,101.823,0.0415571,0.0415571,6.93889e-18
0.97,102.884,0.0308821,0.0308821,3.46945e-18
0.98,103.945,0.0203947,0.0203947,3.46945e-18
0.99,105.005,0.0100993,0.0100993,0
1,106.066,3.89817e-17,3.89817e-17,0
1.01,107.127,-0.00989936,-0.00989936,0
1.02,108.187,-0.0195949,-0.0195949,0
1.03,109.248,-0.0290831,-0.0290831,0
1.04,110.309,-0.0383604,-0.0383604,6.93889e-18
1.05,111.369,-0.0474235,-0.0474235,6.93889e-18
1.06,112.43,-0.0562692,-0.0562692,0
1.07,113.491,-0.0648945,-0.0648945,0
1.08,114.551,-0.0732967,-0.0732967,1.38778e-17
1.09,115.612,-0.0814731,-0.0814731,0
1.1,116.673,-0.0894211,-0.0894211,1.38778e-17
1.11,117.733,-0.0971384,-0.0971384,1.38778e-17
1.12,118.794,-0.104623,-0.104623,1.38778e-17
1.13,119.855,-0.111873,-0.111873,1.38778e-17
1.14,120.915,-0.118886,-0.118886,0
1.15,121.976,-0.125661,-0.125661,2.77556e-17
1.16,123.037,-0.132196,-0.132196,0
1.17,124.097,-0.13849,-0.13849,2.77556e-17
1.18,125.158,-0.144541,-0.144541,2.77556e-17
1.19,126.219,-0.15035,-0.15035,0
1.2,127.279,-0.155915,-0.155915,2.77556e-17
1.21,128.34,-0.161235,-0.161235,0
1.22,129.401,-0.16631,-0.16631,0
1.23,130.461,-0.17114,-0.17114,2.77556e-17
1.24,131.522,-0.175724,-0.175724,0
1.25,132.583,-0.180063,-0.180063,2.77556e-17
1.26,133.643,-0.184157,-0.184157,2.77556e-17
1.27,134.704,-0.188006,-0.188006,2.77556e-17
1.28,135.765,-0.191611,-0.191611,0
1.29,136.825,-0.194972,-0.194972,2.77556e-17
1.3,137.886,-0.198091,-0.198091,0
1.31,138.946,-0.200968,-0.200968,0
1.32,140.007,-0.203604,-0.203604,0
1.33,141.068,-0.206002,-0.206002,2.77556e-17
1.34,142.128,-0.208162,-0.208162,2.77556e-17
1.35,143.189,-0.210086,-0.210086,0
1.36,144.25,-0.211776,-0.211776,2.77556e-17
1.37,145.31,-0.213234,-0.213234,2.77556e-17
1.38,146.371,-0.214462,-0.214462,0
1.39,147.432,-0.215462,-0.215462,0
1.4,148.492,-0.216236,-0.216236,0
1.41,149.553,-0.216788,-0.216788,5.55112e-17
1.42,150.614,-0.217119,-0.217119,0
1.43,151.674,-0.217234,-0.217234,2.77556e-17
1.44,152.735,-0.217133,-0.217133,0
1.45,153.796,-0.216821,-0.216821,5.55112e-17
1.46,154.856,-0.216301,-0.216301,0
1.47,155.917,-0.215576,-0.215576,0
1.48,156.978,-0.21465,-0.21465,0
1.49,158.038,-0.213525,-0.213525,2.77556e-17
1.5,159.099,-0.212207,-0.212207,0
1.51,160.16,-0.210697,-0.210697,2.77556e-17
1.52,161.22,-0.209001,-0.209001,2.77556e-17
1.53,162.281,-0.207122,-0.207122,2.77556e-17
1.54,163.342,-0.205065,-0.205065,2.77556e-17
1.55,164.402,-0.202833,-0.202833,5.55112e-17
1.56,165.463,-0.200431,-0.200431,0
1.57,166.524,-0.197862,-0.197862,0
1.58,167.584,-0.195133,-0.195133,0
1.59,168.645,-0.192246,-0.192246,2.77556e-17
1.6,169.706,-0.189207,-0.189207,0
1.61,170.766,-0.18602,-0.18602,0
1.62,171.827,-0.18269,-0.18269,2.77556e-17
1.63,172.888,-0.179221,-0.179221,2.77556e-17
1.64,173.948,-0.175619,-0.175619,2.77556e-17
1.65,175.009,-0.171889,-0.171889,2.77556e-17
1.66,176.07,-0.168034,-0.168034,0
1.67,177.13,-0.164061,-0.164061,2.77556e-17
1.68,178.191,-0.159975,-0.159975,0
1.69,179.252,-0.15578,-0.15578,2.77556e-17
1.7,180.312,-0.151481,-0.151481,0
1.71,181.373,-0.147084,-0.147084,2.77556e-17
1.72,182.434,-0.142594,-0.142594,0
1.73,183.494,-0.138016,-0.138016,0
1.74,184.555,-0.133355,-0.133355,0
1.75,185.616,-0.128617,-0.128617,2.77556e-17
1.76,186.676,-0.123806,-0.123806,0
1.77,187.737,-0.118928,-0.118928,2.77556e-17
1.78,188.798,-0.113988,-0.113988,0
1.79,189.858,-0.108991,-0.108991,1.38778e-17
1.8,190.919,-0.103943,-0.103943,1.38778e-17
1.81,191.979,-0.098849,-0.098849,1.38778e-17
1.82,193.04,-0.0937137,-0.0937137,0
1.83,194.101,-0.0885426,-0.0885426,1.38778e-17
1.84,195.161,-0.0833407,-0.0833407,1.38778e-17
1.85,196.222,-0.0781133,-0.0781133,0
1.86,197.283,-0.0728655,-0.0728655,0
1.87,198.343,-0.0676022,-0.0676022,0
